GPU available:  True
GPU available:  True
cuda
sim_read_traces_train_20k_pure
sim_read_traces_val_pure
sliced_traces
sliced_traces_whole
(20000, 5000)
(100, 5000)
(20402, 5000)
Creating datasets...
20086
Start training...
Epoch [1/50], Train Loss: 0.337633, Validation Loss: 0.280657, lr = 0.001, duration = 6.2865
Epoch [2/50], Train Loss: 0.266688, Validation Loss: 0.246080, lr = 0.001, duration = 5.9889
Epoch [3/50], Train Loss: 0.254296, Validation Loss: 0.267725, lr = 0.001, duration = 5.8586
Epoch [4/50], Train Loss: 0.248213, Validation Loss: 0.269110, lr = 0.001, duration = 5.9224
Epoch [5/50], Train Loss: 0.240028, Validation Loss: 0.283347, lr = 0.001, duration = 5.7932
Epoch [6/50], Train Loss: 0.228939, Validation Loss: 0.255757, lr = 0.001, duration = 5.7784
Epoch [7/50], Train Loss: 0.216966, Validation Loss: 0.255842, lr = 0.001, duration = 5.8687
Epoch [8/50], Train Loss: 0.208287, Validation Loss: 0.267210, lr = 0.001, duration = 5.8898
Epoch [9/50], Train Loss: 0.202199, Validation Loss: 0.248246, lr = 0.001, duration = 5.7903
Epoch [10/50], Train Loss: 0.197586, Validation Loss: 0.260005, lr = 0.001, duration = 5.8647
Epoch [11/50], Train Loss: 0.188663, Validation Loss: 0.246791, lr = 0.001, duration = 5.8470
Epoch [12/50], Train Loss: 0.171461, Validation Loss: 0.244331, lr = 0.001, duration = 5.8193
Epoch [13/50], Train Loss: 0.145850, Validation Loss: 0.229531, lr = 0.001, duration = 5.8057
Epoch [14/50], Train Loss: 0.135328, Validation Loss: 0.164105, lr = 0.001, duration = 5.8470
Epoch [15/50], Train Loss: 0.129408, Validation Loss: 0.164731, lr = 0.001, duration = 5.8514
Epoch [16/50], Train Loss: 0.126004, Validation Loss: 0.107161, lr = 0.001, duration = 5.8394
Epoch [17/50], Train Loss: 0.120799, Validation Loss: 0.151999, lr = 0.001, duration = 5.8917
Epoch [18/50], Train Loss: 0.119219, Validation Loss: 0.097081, lr = 0.001, duration = 5.9601
Epoch [19/50], Train Loss: 0.114433, Validation Loss: 0.152372, lr = 0.001, duration = 5.8799
Epoch [20/50], Train Loss: 0.114584, Validation Loss: 0.145335, lr = 0.001, duration = 5.8352
Epoch [21/50], Train Loss: 0.107120, Validation Loss: 0.107922, lr = 0.001, duration = 5.8688
Epoch [22/50], Train Loss: 0.109781, Validation Loss: 0.148265, lr = 0.001, duration = 5.8587
Epoch [23/50], Train Loss: 0.105854, Validation Loss: 0.152131, lr = 0.001, duration = 5.8798
Epoch [24/50], Train Loss: 0.103346, Validation Loss: 0.111928, lr = 0.001, duration = 5.9202
Epoch [25/50], Train Loss: 0.101599, Validation Loss: 0.094118, lr = 0.001, duration = 5.7603
Epoch [26/50], Train Loss: 0.099043, Validation Loss: 0.139287, lr = 0.001, duration = 5.8984
Epoch [27/50], Train Loss: 0.090117, Validation Loss: 0.102646, lr = 0.001, duration = 5.9119
Epoch [28/50], Train Loss: 0.088487, Validation Loss: 0.123172, lr = 0.001, duration = 5.9303
Epoch [29/50], Train Loss: 0.086156, Validation Loss: 0.095499, lr = 0.001, duration = 5.8161
Epoch [30/50], Train Loss: 0.081970, Validation Loss: 0.173068, lr = 0.001, duration = 5.8780
Epoch [31/50], Train Loss: 0.081518, Validation Loss: 0.082254, lr = 0.001, duration = 5.8571
Epoch [32/50], Train Loss: 0.080472, Validation Loss: 0.058460, lr = 0.001, duration = 5.8481
Epoch [33/50], Train Loss: 0.081932, Validation Loss: 0.065044, lr = 0.001, duration = 5.8674
Epoch [34/50], Train Loss: 0.078306, Validation Loss: 0.065738, lr = 0.001, duration = 5.8352
Epoch [35/50], Train Loss: 0.077696, Validation Loss: 0.057098, lr = 0.001, duration = 5.9348
Epoch [36/50], Train Loss: 0.078631, Validation Loss: 0.134583, lr = 0.001, duration = 5.8396
Epoch [37/50], Train Loss: 0.077650, Validation Loss: 0.097010, lr = 0.001, duration = 5.9133
Epoch [38/50], Train Loss: 0.076913, Validation Loss: 0.070518, lr = 0.001, duration = 5.8557
Epoch [39/50], Train Loss: 0.077218, Validation Loss: 0.072194, lr = 0.001, duration = 5.8075
Epoch [40/50], Train Loss: 0.076216, Validation Loss: 0.109187, lr = 0.001, duration = 5.8922
Epoch [41/50], Train Loss: 0.077999, Validation Loss: 0.072974, lr = 0.001, duration = 5.8346
Epoch [42/50], Train Loss: 0.075980, Validation Loss: 0.079148, lr = 0.001, duration = 5.8689
Epoch [43/50], Train Loss: 0.077748, Validation Loss: 0.096852, lr = 0.001, duration = 5.9361
Epoch [44/50], Train Loss: 0.075918, Validation Loss: 0.068768, lr = 0.001, duration = 5.9048
Epoch [45/50], Train Loss: 0.077829, Validation Loss: 0.066501, lr = 0.001, duration = 5.8990
Epoch [46/50], Train Loss: 0.077643, Validation Loss: 0.078704, lr = 0.001, duration = 5.9163
Epoch [47/50], Train Loss: 0.076180, Validation Loss: 0.051356, lr = 0.001, duration = 5.7850
Epoch [48/50], Train Loss: 0.076733, Validation Loss: 0.084589, lr = 0.001, duration = 5.8997
Epoch [49/50], Train Loss: 0.075512, Validation Loss: 0.086866, lr = 0.001, duration = 5.8407
Epoch [50/50], Train Loss: 0.073976, Validation Loss: 0.067277, lr = 0.001, duration = 5.8232

Finished Training in 294.5

Figures saved
Figures saved
Saving model parameters...
done
