GPU available:  True
GPU available:  True
cuda
Noise traces shape:(243, 100000)
sim_read_traces_train_50k
sim_read_traces_train_10k
sliced_traces
Training traces shape:(50000, 5000)
Validation traces shape:(10000, 5000)
Test traces shape:(20402, 5000)
Noise amps are from 2.5 to 4.0
Creating datasets...
20086
Start training...
Epoch [1/25], Train Loss: 0.334148, Validation Loss: 0.198232, lr = 0.001, duration = 35.5207
Epoch [2/25], Train Loss: 0.177701, Validation Loss: 0.164829, lr = 0.001, duration = 17.6804
Epoch [3/25], Train Loss: 0.160668, Validation Loss: 0.159897, lr = 0.001, duration = 17.5502
Epoch [4/25], Train Loss: 0.155543, Validation Loss: 0.161618, lr = 0.001, duration = 17.7173
Epoch [5/25], Train Loss: 0.152662, Validation Loss: 0.152475, lr = 0.001, duration = 17.6005
Epoch [6/25], Train Loss: 0.150409, Validation Loss: 0.146163, lr = 0.001, duration = 17.6132
Epoch [7/25], Train Loss: 0.149818, Validation Loss: 0.148375, lr = 0.001, duration = 17.7479
Epoch [8/25], Train Loss: 0.148840, Validation Loss: 0.150865, lr = 0.001, duration = 17.6182
Epoch [9/25], Train Loss: 0.150089, Validation Loss: 0.162550, lr = 0.001, duration = 17.5594
Epoch [10/25], Train Loss: 0.148673, Validation Loss: 0.147449, lr = 0.001, duration = 17.6179
Epoch [11/25], Train Loss: 0.148051, Validation Loss: 0.148650, lr = 0.001, duration = 17.4384
Epoch [12/25], Train Loss: 0.148372, Validation Loss: 0.149226, lr = 0.001, duration = 17.4966
Epoch [13/25], Train Loss: 0.147314, Validation Loss: 0.146593, lr = 0.001, duration = 17.5031
Epoch [14/25], Train Loss: 0.145776, Validation Loss: 0.151477, lr = 0.001, duration = 17.5412
Epoch [15/25], Train Loss: 0.145616, Validation Loss: 0.147275, lr = 0.001, duration = 17.5434
Epoch [16/25], Train Loss: 0.090026, Validation Loss: 0.094047, lr = 0.001, duration = 17.5469
Epoch [17/25], Train Loss: 0.075475, Validation Loss: 0.083141, lr = 0.001, duration = 17.6515
Epoch [18/25], Train Loss: 0.073960, Validation Loss: 0.088614, lr = 0.001, duration = 17.5685
Epoch [19/25], Train Loss: 0.073398, Validation Loss: 0.083198, lr = 0.001, duration = 17.5559
Epoch [20/25], Train Loss: 0.072426, Validation Loss: 0.087458, lr = 0.001, duration = 17.5962
Epoch [21/25], Train Loss: 0.072010, Validation Loss: 0.084083, lr = 0.001, duration = 17.6819
Epoch [22/25], Train Loss: 0.059285, Validation Loss: 0.067387, lr = 0.001, duration = 17.5408
Epoch [23/25], Train Loss: 0.030100, Validation Loss: 0.051523, lr = 0.001, duration = 17.4854
Epoch [24/25], Train Loss: 0.023679, Validation Loss: 0.071954, lr = 0.001, duration = 17.6028
Epoch [25/25], Train Loss: 0.021759, Validation Loss: 0.044787, lr = 0.001, duration = 17.5795

Finished Training in 472.8

score:  (0.9039679893297766, 0.9905005480453051, array([[2711,  288],
       [  26, 6975]]))
